movie_id,title,release_date,popularity,score_average,overview,poster_path,genres,director,actors
713704,이블 데드 라이즈,2023-04-12,6246.713,7.2,"길바닥에서 지친 베스가 비좁은 아파트에서 세 아이를 키우는 엘리를 뒤늦게 찾아간다. 아파트에서 신비로운 책이 발견되며 육체에 사로잡힌 악마가 발견되며, 베스가 가장 악몽 같은 버전의 모성애에 직면하게 되면서 생존에 위한 원초적인 싸움에 내몰리게 되는데...",/5ik4ATKmNtmJU6AYD0bLm56BCVM.jpg,"27, 53, 14",Sam Raimi,"Lily Sullivan, Alyssa Sutherland, Morgan Davies, Gabrielle Echols, Nell Fisher"
640146,앤트맨과 와스프: 퀀텀매니아,2023-02-15,3766.989,6.5,"슈퍼히어로 파트너인 스캇 랭과 호프 반 다인, 호프의 부모 재닛 반 다인과 행크 핌, 그리고 스캇의 딸 캐시 랭까지 미지의 양자 영역 세계 속에 빠져버린 앤트맨 패밀리. 그 곳에서 새로운 존재들과 무한한 우주를 다스리는 정복자 캉을 만나며, 그 누구도 예상 못 한 모든 것의 한계를 뛰어넘는 모험을 시작하게 되는데…",/sz6mTIDDQmR3DYgJudiTmoW2gR5.jpg,"28, 12, 878",Sarah Halley Finn,"Paul Rudd, Evangeline Lilly, Jonathan Majors, Kathryn Newton, Michelle Pfeiffer"
502356,슈퍼 마리오 브라더스,2023-04-05,3339.399,7.5,따단-딴-따단-딴 ♫ 전 세계를 열광시킬 올 타임 슈퍼 어드벤처의 등장! 뉴욕의 평범한 배관공 형제 '마리오'와 ‘루이지’는 배수관 고장으로 위기에 빠진 도시를 구하려다 미스터리한 초록색 파이프 안으로 빨려 들어가게 된다. 파이프를 통해 새로운 세상으로 차원 이동하게 된 형제. 형 '마리오'는 뛰어난 리더십을 지닌 '피치'가 통치하는 버섯왕국에 도착하지만 동생 '루이지'는 빌런 '쿠파'가 있는 다크랜드로 떨어지며 납치를 당하고 ‘마리오’는 동생을 구하기 위해 ‘피치’와 ‘키노피오’의 도움을 받아 '쿠파'에 맞서기로 결심한다. 그러나 슈퍼스타로 세상을 지배하려는 그의 강력한 힘 앞에 이들은 예기치 못한 위험에 빠지게 되는데...!,/dlGyzCxbBQK1U2O5o31Z1hB6erc.jpg,"16, 10751, 12, 14, 35",Jack Black,"Chris Pratt, Charlie Day, Anya Taylor-Joy, Jack Black, Keegan-Michael Key"
758323,엑소시스트: 더 바티칸,2023-04-05,3125.123,7.2,"바티칸이 인정한 공식 수석 엑소시스트이자 최고의 구마사제 '가브리엘 아모르트’ 신부(러셀 크로우)는 한 어린 소년에게 들린 악마를 구마하기 위해 스페인으로 향한다. 그리고 그곳에서 바티칸이 숨겨온 충격적인 비밀과 마주하고, '토마스 에스퀴벨’ 신부(다니엘 조바토)와 함께 진실을 파헤치게 되는데...",/fA1xRPplBqW87wWh0hO1pwbQmX8.jpg,"27, 53, 14",Daniel Hubbard,"Russell Crowe, Daniel Zovatto, Alex Essoe, Franco Nero, Peter DeSouza-Feighoney"
447365,가디언즈 오브 갤럭시: Volume 3,2023-05-03,2137.214,8.2,"가모라를 잃고 슬픔에 빠져 있던 피터 퀼이 위기에 처한 은하계와 동료를 지키기 위해 다시 한 번 가디언즈 팀과 힘을 모으고, 성공하지 못할 경우 그들의 마지막이 될지도 모르는 미션에 나서는 이야기.",/b7epV2cQZVIR4u5VZraDwD0AgiE.jpg,"878, 12, 28",John Murphy,"Chris Pratt, Zoe Saldaña, Dave Bautista, Karen Gillan, Pom Klementieff"
868759,고스팅,2023-04-18,2048.647,7.1,선량한 남자 콜은 수수께끼 같은 세이디에게 푹 빠지지만 곧 그녀가 비밀 요원이라는 충격적인 사실을 알게 된다. 두 번째 데이트 약속을 하기도 전에 콜과 세이디는 세상을 구하기 위한 국제적 모험에 휩쓸린다.,/zCsg0CgncQkLiAgk1zkmt15OhM8.jpg,"28, 35, 10749",Chris Lebenzon,"Chris Evans, Ana de Armas, Adrien Brody, Mike Moh, Amy Sedaris"
594767,샤잠! 신들의 분노,2023-03-15,2010.98,6.8,"신들의 힘을 갖게 된 빌리(애셔 앤젤)와 친구들은 각자의 방법으로 슈퍼히어로의 삶을 즐기게 된다. 그러던 그들 앞에 잃어버린 힘을 되찾고자 그리스 여신 헤스페라(헬렌 미렌)와 칼립소(루시 리우)가 나타나게 되고, 세상은 혼돈에 빠지게 되는데…",/f5907P7GdAGI22PHNRfqoKCAcDR.jpg,"28, 35, 14, 12",Stella Vaccaro,"Zachary Levi, Asher Angel, Jack Dylan Grazer, Rachel Zegler, Adam Brody"
76600,아바타: 물의 길,2022-12-14,1945.368,7.7,"판도라 행성에서 제이크 설리와 네이티리가 이룬 가족이 겪게 되는 무자비한 위협과 살아남기 위해 떠나야 하는 긴 여정과 전투, 그리고 견뎌내야 할 상처에 대한 이야기를 그렸다. 살아남기 위해 설리 가족이 숲에서 바다로 터전을 옮기면서 겪게 되는 화합의 과정, 그리고 곳곳에서 도사리는 새로운 위협까지 역경 속에서 더 아름답게 펼쳐진다.",/z56bVX93oRG6uDeMACR7cXCnAbh.jpg,"878, 12, 28",Stephen E. Rivkin,"Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang, Kate Winslet"
1102776,에이전트 A.K.A.,2023-04-28,1685.074,7.0,"한 치도 흔들림이 없는 특수 작전 요원. 하지만 범죄 조직 침투 임무 중, 우연히 상관의 어린 아들과 가까워지면서 굳은 신념이 시험대에 오른다.",/zLQc0AF6yWkW6piLlFvjDU8FznN.jpg,"53, 28, 80",Alban Lenoir,"Alban Lenoir, Éric Cantona, Thibault de Montalembert, Sveva Alviti, Saïdou Camara"
677179,크리드 3,2023-03-01,1472.262,7.3,"록키의 후계자인 크리드는 월드 챔피언으로 권투계를 장악한 후 완벽한 삶을 살던 중 과거 친형제 같았던 데미안과 재회한다. 오랜 시간 감옥 생활을 마치고 나온 데미안은 그가 꿈꾸던 인생을 사는 크리드와 충돌하며 그의 모든 것을 빼앗으려 하고, 크리드는 이에 맞서 자신의 미래를 지키기 위한 일생일대의 대결을 준비하는데…",/56HGRCoEY2OmO1yZro77IvldDpE.jpg,"18, 28",Peter Boyle,"Michael B. Jordan, Tessa Thompson, Jonathan Majors, Phylicia Rashād, Mila Davis-Kent"
934433,스크림 6,2023-03-08,1465.218,7.3,,/wDWwtvkRRlgTiUr6TyLSMX8FCuZ.jpg,"27, 9648, 53",Cathy Konrad,"Melissa Barrera, Jenna Ortega, Jasmin Savoy Brown, Mason Gooding, Roger Jackson"
603692,존 윅 4,2023-03-22,1175.963,7.9,"죽을 위기에서 살아난 존 윅은 최고 회의를 쓰러트릴 방법을 찾아낸다. 비로소 완전한 자유의 희망을 보지만, 빌런 그라몽 후작과 전 세계의 최강 연합은 존 윅의 오랜 친구까지 적으로 만들어 버리고, 새로운 위기에 놓인 존 윅은 최후의 반격을 준비하는데...",/9WF6TxCYwdiZw51NM92ConaQz1w.jpg,"28, 53, 80",Manfred Banach,"Keanu Reeves, Donnie Yen, Bill Skarsgård, Ian McShane, Laurence Fishburne"
785759,투 위치스,2023-03-02,879.202,6.2,임신한 새라는 식당에서 사악한 눈빛으로 노려보는 늙은 마녀와 마주친다. 그 후 새라는 아기가 잡아 먹히는 끔찍한 환상과 악몽에 시달린다. 늙은 마녀는 남편의 친구 더스틴의 집으로 가는 새라를 뒤따른다. 새라는 남편 사이먼과 함께 더스틴과 멜리사 부부의 외딴집에 도착한다. 주술에 빠져 있는 멜리사는 새라를 위해 위자 보드로 영을 소환한다. 얼마 후 나쁜 기운을 없애는 양초의 촛불이 저절로 꺼지고 화장실 앞에서 넋을 잃고 서 있던 새라는 아무것도 기억하지 못한다. 어둠 속에서 늙은 마녀가 아기를 먹는 모습을 본 사이먼은 심장마비로 사망한다. 새라가 어딘가로 사라지고 더스틴과 멜리사가 혼란에 빠진 가운데 경찰은 사이먼의 죽음과 새라의 실종을 가정폭력 때문이라고 발표한다. 악마가 새라의 태아를 먹은 늙은 마녀에게 안식을 허락하는데...,/uL9fFTdNmUUlKIJfHJclN5X3bxH.jpg,27,Pierre Tsigaridis,"Belle Adams, Jacob DeMonte-Finn, Tim Fox, Clint Glenn Hummel, Danielle Kennedy"
385687,분노의 질주: 라이드 오어 다이,2023-05-17,1159.807,6.3,돔과 그의 패밀리 앞에 나타난 운명의 적 단테. 과거의 그림자는 돔의 모든 것을 파괴하기 위해 달려온다. 단테에 의해 산산히 흩어진 패밀리들은 모두 목숨을 걸고 맞서야 하는 함정에 빠지고 마는데...,/3JT1oE0JIA6CQJaZDG00y3S0kP3.jpg,"28, 80",Susie Figgis,"Vin Diesel, Michelle Rodriguez, Tyrese Gibson, Ludacris, Jason Momoa"
727340,헌트,2022-08-10,1091.05,6.9,"북한 고위 관리가 망명을 요청한 이후, 안기부 해외팀 차장 박평호와 국내팀 차장 김정도는 동림으로 알려진 안기부 내 스파이, 남파간첩 총책임자를 밝혀내는 임무를 맡는다. 이윽고 동림이 국가 안보를 위태롭게 할 1급 비밀 정보를 누설하기 시작하고 안기부의 해외팀과 국내팀은 서로를 조사하기에 이른다. 당장 스파이를 밝혀내지 못하면 자신이 혐의를 받을 수 있는 일촉즉발의 상황에서 평호와 정도는 서서히 진실을 찾아내고, 마침내 대한민국 1호 암살 작전이라는 거대한 사건과 직면하게 되는데...",/zI0rMYcSUx16pHnsegWExPf1kDF.jpg,"53, 28",Kim Sang-bum,"Lee Jung-jae, Jung Woo-sung, Jeon Hye-jin, Heo Sung-tae, Go Youn-jung"
